status,card,type,bucket_path,url
matched,"U3200 Sell Sheet","Sell Sheet","anchor/u-anchors/u3200/plate/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fsales-sheet.pdf"
matched,"U3200 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3200/plate/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fdata-sheet.pdf"
matched,"U3800 DWG","DWG","anchor/u-anchors/u3800/coatings/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fcad.dwg"
matched,"U3800 Sell Sheet","Sell Sheet","anchor/u-anchors/u3800/coatings/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fsales-sheet.pdf"
matched,"U3800 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3800/coatings/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fdata-sheet.pdf"
matched,"Unitized Snow Fence Data Sheet","Data Sheet","solutions/snow-retention/unitized-snow-fence/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fdata-sheet.pdf"
matched,"Unitized Snow Fence Sales Sheet","Sales Sheet","solutions/snow-retention/unitized-snow-fence/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fsales-sheet.pdf"
matched,"Unitized Snow Fence Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Unitized Snow Fence Step File","Step File","solutions/snow-retention/unitized-snow-fence/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fassembly.step"
matched,"Wall Mounted Box Installation Sheet","Installation Sheet","solutions/wall-box/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-box%2Finstall-manual.pdf"
matched,"Wall Mounted Box Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Wall Mounted Box Step File","Step File","solutions/wall-box/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-box%2Fassembly.step"
matched,"Wall Mounted Guardrail Data Sheet","Data Sheet","solutions/wall-guardrail/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fdata-sheet.pdf"
matched,"Wall Mounted Guardrail Installation Sheet","Installation Sheet","solutions/wall-guardrail/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Finstall-manual.pdf"
matched,"Wall Mounted Guardrail Sales Sheet","Sales Sheet","solutions/wall-guardrail/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fsales-sheet.pdf"
matched,"Wall Mounted Guardrail Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Wall Mounted Guardrail Step File","Step File","solutions/wall-guardrail/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fassembly.step"
choose,"Elevated Stack Step File","Step File","solutions/elevated-stack/Tower/Stack Securement - 2000 Series U-Anchor/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fassembly.step"
choose,"Elevated Stack Step File","Step File","solutions/elevated-stack/wall-stack/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2Fwall-stack%2Fassembly.step"
choose,"Pipe Securement Data Sheet","Data Sheet","solutions/pipe-securement-utility-corridor/Data-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-securement-utility-corridor%2FData-Sheet.pdf"
choose,"Pipe Securement Data Sheet","Data Sheet","solutions/pss-0305-pipe-securement-6-base/Data-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0305-pipe-securement-6-base%2FData-Sheet.pdf"
choose,"Pipe Securement Data Sheet","Data Sheet","solutions/pss-0310-pipe-support-securement-strut-assembly/Data-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FData-Sheet.pdf"
choose,"Pipe Securement Data Sheet","Data Sheet","solutions/pss-0320-pipe-support-securement-roller-assembly/Data-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2FData-Sheet.pdf"
choose,"Pipe Securement Installation Sheet","Installation Sheet","solutions/pss-0305-pipe-securement-6-base/Install-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0305-pipe-securement-6-base%2FInstall-Sheet.pdf"
choose,"Pipe Securement Installation Sheet","Installation Sheet","solutions/pss-0310-pipe-support-securement-strut-assembly/Install-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FInstall-Sheet.pdf"
choose,"Pipe Securement Installation Sheet","Installation Sheet","solutions/pss-0320-pipe-support-securement-roller-assembly/install-guide.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2Finstall-guide.pdf"
choose,"Pipe Securement Sales Sheet","Sales Sheet","solutions/pss-0310-pipe-support-securement-strut-assembly/Sales-Sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FSales-Sheet.pdf"
choose,"Pipe Securement Sales Sheet","Sales Sheet","solutions/pss-0320-pipe-support-securement-roller-assembly/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2Fsales-sheet.pdf"
choose,"U2000 DWG","DWG","anchor/u-anchors/u2000/kee/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fcad.dwg"
choose,"U2000 DWG","DWG","anchor/u-anchors/u2000/pvc/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fcad.dwg"
choose,"U2000 DWG","DWG","anchor/u-anchors/u2000/tpo/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcad.dwg"
choose,"U2000 Installation Sheet","Installation Sheet","anchor/u-anchors/u2000/kee/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Finstall-manual.pdf"
choose,"U2000 Installation Sheet","Installation Sheet","anchor/u-anchors/u2000/pvc/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Finstall-manual.pdf"
choose,"U2000 Installation Sheet","Installation Sheet","anchor/u-anchors/u2000/tpo/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Finstall-manual.pdf"
choose,"U2000 Sell Sheet","Sell Sheet","anchor/u-anchors/u2000/kee/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fsales-sheet.pdf"
choose,"U2000 Sell Sheet","Sell Sheet","anchor/u-anchors/u2000/pvc/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fsales-sheet.pdf"
choose,"U2000 Sell Sheet","Sell Sheet","anchor/u-anchors/u2000/tpo/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fsales-sheet.pdf"
choose,"U2000 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2000/kee/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fdata-sheet.pdf"
choose,"U2000 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2000/pvc/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fdata-sheet.pdf"
choose,"U2000 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2000/tpo/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fdata-sheet.pdf"
choose,"U2400 DWG","DWG","anchor/u-anchors/u2400/epdm/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fcad.dwg"
choose,"U2400 DWG","DWG","anchor/u-anchors/u2400/kee/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fcad.dwg"
choose,"U2400 DWG","DWG","anchor/u-anchors/u2400/pvc/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fcad.dwg"
choose,"U2400 DWG","DWG","anchor/u-anchors/u2400/tpo/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fcad.dwg"
choose,"U2400 Installation Sheet","Installation Sheet","anchor/u-anchors/u2400/epdm/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Finstall-manual.pdf"
choose,"U2400 Installation Sheet","Installation Sheet","anchor/u-anchors/u2400/kee/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Finstall-manual.pdf"
choose,"U2400 Installation Sheet","Installation Sheet","anchor/u-anchors/u2400/pvc/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Finstall-manual.pdf"
choose,"U2400 Installation Sheet","Installation Sheet","anchor/u-anchors/u2400/tpo/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Finstall-manual.pdf"
choose,"U2400 Sell Sheet","Sell Sheet","anchor/u-anchors/u2400/epdm/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fsales-sheet.pdf"
choose,"U2400 Sell Sheet","Sell Sheet","anchor/u-anchors/u2400/kee/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fsales-sheet.pdf"
choose,"U2400 Sell Sheet","Sell Sheet","anchor/u-anchors/u2400/pvc/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fsales-sheet.pdf"
choose,"U2400 Sell Sheet","Sell Sheet","anchor/u-anchors/u2400/tpo/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fsales-sheet.pdf"
choose,"U2400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2400/epdm/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fdata-sheet.pdf"
choose,"U2400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2400/kee/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fdata-sheet.pdf"
choose,"U2400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2400/pvc/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fdata-sheet.pdf"
choose,"U2400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2400/tpo/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fdata-sheet.pdf"
choose,"U2600 DWG","DWG","anchor/u-anchors/u2600/app/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fcad.dwg"
choose,"U2600 DWG","DWG","anchor/u-anchors/u2600/sbs-torch/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fcad.dwg"
choose,"U2600 DWG","DWG","anchor/u-anchors/u2600/sbs/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fcad.dwg"
choose,"U2600 Installation Sheet","Installation Sheet","anchor/u-anchors/u2600/app/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Finstall-manual.pdf"
choose,"U2600 Installation Sheet","Installation Sheet","anchor/u-anchors/u2600/sbs-torch/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Finstall-manual.pdf"
choose,"U2600 Installation Sheet","Installation Sheet","anchor/u-anchors/u2600/sbs/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Finstall-manual.pdf"
choose,"U2600 Sell Sheet","Sell Sheet","anchor/u-anchors/u2600/app/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fsales-sheet.pdf"
choose,"U2600 Sell Sheet","Sell Sheet","anchor/u-anchors/u2600/sbs-torch/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fsales-sheet.pdf"
choose,"U2600 Sell Sheet","Sell Sheet","anchor/u-anchors/u2600/sbs/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fsales-sheet.pdf"
choose,"U2600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2600/app/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fdata-sheet.pdf"
choose,"U2600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2600/sbs-torch/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fdata-sheet.pdf"
choose,"U2600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u2600/sbs/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fdata-sheet.pdf"
choose,"U3400 DWG","DWG","anchor/u-anchors/u3400/epdm/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fcad.dwg"
choose,"U3400 DWG","DWG","anchor/u-anchors/u3400/kee/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fcad.dwg"
choose,"U3400 DWG","DWG","anchor/u-anchors/u3400/pvc/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fcad.dwg"
choose,"U3400 DWG","DWG","anchor/u-anchors/u3400/tpo/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fcad.dwg"
choose,"U3400 Sell Sheet","Sell Sheet","anchor/u-anchors/u3400/epdm/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fsales-sheet.pdf"
choose,"U3400 Sell Sheet","Sell Sheet","anchor/u-anchors/u3400/kee/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fsales-sheet.pdf"
choose,"U3400 Sell Sheet","Sell Sheet","anchor/u-anchors/u3400/pvc/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fsales-sheet.pdf"
choose,"U3400 Sell Sheet","Sell Sheet","anchor/u-anchors/u3400/tpo/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fsales-sheet.pdf"
choose,"U3400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3400/epdm/product-data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fproduct-data-sheet.pdf"
choose,"U3400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3400/kee/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fdata-sheet.pdf"
choose,"U3400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3400/pvc/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fdata-sheet.pdf"
choose,"U3400 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3400/tpo/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fdata-sheet.pdf"
choose,"U3600 DWG","DWG","anchor/u-anchors/u3600/app/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fcad.dwg"
choose,"U3600 DWG","DWG","anchor/u-anchors/u3600/sbs-torch/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fcad.dwg"
choose,"U3600 DWG","DWG","anchor/u-anchors/u3600/sbs/cad.dwg","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fcad.dwg"
choose,"U3600 Sell Sheet","Sell Sheet","anchor/u-anchors/u3600/app/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fsales-sheet.pdf"
choose,"U3600 Sell Sheet","Sell Sheet","anchor/u-anchors/u3600/sbs-torch/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fsales-sheet.pdf"
choose,"U3600 Sell Sheet","Sell Sheet","anchor/u-anchors/u3600/sbs/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fsales-sheet.pdf"
choose,"U3600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3600/app/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fdata-sheet.pdf"
choose,"U3600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3600/sbs-torch/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fdata-sheet.pdf"
choose,"U3600 Technical Data Sheet","Technical Data Sheet","anchor/u-anchors/u3600/sbs/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fdata-sheet.pdf"
no_file,"Electrical Disconnect Box Installation Sheet","no Installation Sheet in solutions/electrical-disconnect","",""
no_file,"Equipment Screen Data Sheet","no Data Sheet in solutions/equipment-screen","",""
no_file,"Equipment Screen Installation Sheet","no Installation Sheet in solutions/equipment-screen","",""
no_file,"Lightning Data Sheet","no Data Sheet in solutions/lightning","",""
no_file,"Lightning Installation Sheet","no Installation Sheet in solutions/lightning","",""
no_file,"Lightning Step File","no Step File in solutions/lightning","",""
no_file,"Pipe Securement Step File","no Step File in any of 4 folders","",""
no_file,"Roof Mounted Guardrail Step File","no Step File in solutions/roof-guardrail","",""
