group,subfolder,document,type,url
"U-Anchor U2000","kee","Kee — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fcad.dwg"
"U-Anchor U2000","kee","Kee — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fcase-study.pdf"
"U-Anchor U2000","kee","Kee — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fdata-sheet.pdf"
"U-Anchor U2000","kee","Kee — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Finstall-manual.pdf"
"U-Anchor U2000","kee","Kee — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Fsales-sheet.pdf"
"U-Anchor U2000","kee","Kee — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fkee%2Ftest-report.pdf"
"U-Anchor U2000","pvc","Pvc — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fcad.dwg"
"U-Anchor U2000","pvc","Pvc — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fdata-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Finstall-manual.pdf"
"U-Anchor U2000","pvc","Pvc — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fmanufacturer-approval.pdf"
"U-Anchor U2000","pvc","Pvc — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fproduct-data-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Fsales-sheet.pdf"
"U-Anchor U2000","pvc","Pvc — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Fpvc%2Ftest-report.pdf"
"U-Anchor U2000","tpo","Tpo — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcad.dwg"
"U-Anchor U2000","tpo","Tpo — Case Study Carribeanva","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcase-study-carribeanva.pdf"
"U-Anchor U2000","tpo","Tpo — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fcase-study.pdf"
"U-Anchor U2000","tpo","Tpo — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fdata-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Finstall-manual.pdf"
"U-Anchor U2000","tpo","Tpo — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fmanufacturer-approval.pdf"
"U-Anchor U2000","tpo","Tpo — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fproduct-data-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Fsales-sheet.pdf"
"U-Anchor U2000","tpo","Tpo — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2000%2Ftpo%2Ftest-report.pdf"
"U-Anchor U2200","plate","Plate — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fcad.dwg"
"U-Anchor U2200","plate","Plate — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fdata-sheet.pdf"
"U-Anchor U2200","plate","Plate — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fproduct-data-sheet.pdf"
"U-Anchor U2200","plate","Plate — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Fsales-sheet.pdf"
"U-Anchor U2200","plate","Plate — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2200%2Fplate%2Ftest-report.pdf"
"U-Anchor U2400","epdm","Epdm — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fcad.dwg"
"U-Anchor U2400","epdm","Epdm — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fcase-study.pdf"
"U-Anchor U2400","epdm","Epdm — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fdata-sheet.pdf"
"U-Anchor U2400","epdm","Epdm — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Finstall-manual.pdf"
"U-Anchor U2400","epdm","Epdm — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fmanufacturer-approval.pdf"
"U-Anchor U2400","epdm","Epdm — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fproduct-data-sheet.pdf"
"U-Anchor U2400","epdm","Epdm — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Fsales-sheet.pdf"
"U-Anchor U2400","epdm","Epdm — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fepdm%2Ftest-report.pdf"
"U-Anchor U2400","kee","Kee — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fcad.dwg"
"U-Anchor U2400","kee","Kee — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fdata-sheet.pdf"
"U-Anchor U2400","kee","Kee — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Finstall-manual.pdf"
"U-Anchor U2400","kee","Kee — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fmanufacturer-approval.pdf"
"U-Anchor U2400","kee","Kee — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fproduct-data-sheet.pdf"
"U-Anchor U2400","kee","Kee — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Fsales-sheet.pdf"
"U-Anchor U2400","kee","Kee — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fkee%2Ftest-report.pdf"
"U-Anchor U2400","pvc","Pvc — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fcad.dwg"
"U-Anchor U2400","pvc","Pvc — Case Study Supertarget","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fcase-study-supertarget.pdf"
"U-Anchor U2400","pvc","Pvc — Case Study Westindawn","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fcase-study-westindawn.pdf"
"U-Anchor U2400","pvc","Pvc — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fdata-sheet.pdf"
"U-Anchor U2400","pvc","Pvc — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Finstall-manual.pdf"
"U-Anchor U2400","pvc","Pvc — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fmanufacturer-approval.pdf"
"U-Anchor U2400","pvc","Pvc — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fproduct-data-sheet.pdf"
"U-Anchor U2400","pvc","Pvc — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Fsales-sheet.pdf"
"U-Anchor U2400","pvc","Pvc — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Fpvc%2Ftest-report.pdf"
"U-Anchor U2400","tpo","Tpo — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fcad.dwg"
"U-Anchor U2400","tpo","Tpo — Case Study","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fcase-study.pdf"
"U-Anchor U2400","tpo","Tpo — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fdata-sheet.pdf"
"U-Anchor U2400","tpo","Tpo — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Finstall-manual.pdf"
"U-Anchor U2400","tpo","Tpo — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fmanufacturer-approval.pdf"
"U-Anchor U2400","tpo","Tpo — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fproduct-data-sheet.pdf"
"U-Anchor U2400","tpo","Tpo — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Fsales-sheet.pdf"
"U-Anchor U2400","tpo","Tpo — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2400%2Ftpo%2Ftest-report.pdf"
"U-Anchor U2600","app","App — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fcad.dwg"
"U-Anchor U2600","app","App — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fdata-sheet.pdf"
"U-Anchor U2600","app","App — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Finstall-manual.pdf"
"U-Anchor U2600","app","App — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fmanufacturer-approval.pdf"
"U-Anchor U2600","app","App — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fproduct-data-sheet.pdf"
"U-Anchor U2600","app","App — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Fsales-sheet.pdf"
"U-Anchor U2600","app","App — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fapp%2Ftest-report.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fcad.dwg"
"U-Anchor U2600","sbs-torch","Sbs Torch — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fdata-sheet.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Finstall-manual.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fmanufacturer-approval.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fproduct-data-sheet.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Fsales-sheet.pdf"
"U-Anchor U2600","sbs-torch","Sbs Torch — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs-torch%2Ftest-report.pdf"
"U-Anchor U2600","sbs","Sbs — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fcad.dwg"
"U-Anchor U2600","sbs","Sbs — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fdata-sheet.pdf"
"U-Anchor U2600","sbs","Sbs — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Finstall-manual.pdf"
"U-Anchor U2600","sbs","Sbs — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fmanufacturer-approval.pdf"
"U-Anchor U2600","sbs","Sbs — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fproduct-data-sheet.pdf"
"U-Anchor U2600","sbs","Sbs — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Fsales-sheet.pdf"
"U-Anchor U2600","sbs","Sbs — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2600%2Fsbs%2Ftest-report.pdf"
"U-Anchor U2800","coatings","Coatings — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fcad.dwg"
"U-Anchor U2800","coatings","Coatings — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fdata-sheet.pdf"
"U-Anchor U2800","coatings","Coatings — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fproduct-data-sheet.pdf"
"U-Anchor U2800","coatings","Coatings — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Fsales-sheet.pdf"
"U-Anchor U2800","coatings","Coatings — Test Report","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu2800%2Fcoatings%2Ftest-report.pdf"
"U-Anchor U3200","plate","Plate — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fcad.dwg"
"U-Anchor U3200","plate","Plate — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fdata-sheet.pdf"
"U-Anchor U3200","plate","Plate — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fproduct-data-sheet.pdf"
"U-Anchor U3200","plate","Plate — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3200%2Fplate%2Fsales-sheet.pdf"
"U-Anchor U3400","epdm","Epdm — Install Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2FInstall-Sheet.pdf"
"U-Anchor U3400","epdm","Epdm — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fcad.dwg"
"U-Anchor U3400","epdm","Epdm — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fmanufacturer-approval.pdf"
"U-Anchor U3400","epdm","Epdm — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fproduct-data-sheet.pdf"
"U-Anchor U3400","epdm","Epdm — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fepdm%2Fsales-sheet.pdf"
"U-Anchor U3400","kee","Kee — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fcad.dwg"
"U-Anchor U3400","kee","Kee — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fdata-sheet.pdf"
"U-Anchor U3400","kee","Kee — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fmanufacturer-approval.pdf"
"U-Anchor U3400","kee","Kee — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fproduct-data-sheet.pdf"
"U-Anchor U3400","kee","Kee — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fkee%2Fsales-sheet.pdf"
"U-Anchor U3400","pvc","Pvc — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fcad.dwg"
"U-Anchor U3400","pvc","Pvc — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fdata-sheet.pdf"
"U-Anchor U3400","pvc","Pvc — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fmanufacturer-approval.pdf"
"U-Anchor U3400","pvc","Pvc — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fproduct-data-sheet.pdf"
"U-Anchor U3400","pvc","Pvc — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Fpvc%2Fsales-sheet.pdf"
"U-Anchor U3400","tpo","Tpo — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fcad.dwg"
"U-Anchor U3400","tpo","Tpo — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fdata-sheet.pdf"
"U-Anchor U3400","tpo","Tpo — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fmanufacturer-approval.pdf"
"U-Anchor U3400","tpo","Tpo — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fproduct-data-sheet.pdf"
"U-Anchor U3400","tpo","Tpo — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3400%2Ftpo%2Fsales-sheet.pdf"
"U-Anchor U3600","app","App — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fcad.dwg"
"U-Anchor U3600","app","App — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fdata-sheet.pdf"
"U-Anchor U3600","app","App — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fmanufacturer-approval.pdf"
"U-Anchor U3600","app","App — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fproduct-data-sheet.pdf"
"U-Anchor U3600","app","App — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fapp%2Fsales-sheet.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fcad.dwg"
"U-Anchor U3600","sbs-torch","Sbs Torch — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fdata-sheet.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fmanufacturer-approval.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fproduct-data-sheet.pdf"
"U-Anchor U3600","sbs-torch","Sbs Torch — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs-torch%2Fsales-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fcad.dwg"
"U-Anchor U3600","sbs","Sbs — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fdata-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Manufacturer Approval","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fmanufacturer-approval.pdf"
"U-Anchor U3600","sbs","Sbs — Product Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fproduct-data-sheet.pdf"
"U-Anchor U3600","sbs","Sbs — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3600%2Fsbs%2Fsales-sheet.pdf"
"U-Anchor U3800","coatings","Coatings — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=anchor%2Fu-anchors%2Fu3800%2Fcoatings%2Fcad.dwg"
